CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOME16CAT,INCOME,RINCOM16CAT,RINCOME,EDUC,SPEDUC,PAEDUC,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,PAWRKSLF,MAWRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,PARTYID2,POLVIEWS,POLVIEWS3,POLVIEWS2,CAPPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,ELECTRON,VIRUSES,BIGBANG,CONDRIFT,EVOLVED,JOBLOSE,JOBFIND,SATJOB,RICHWORK,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL,CONFINAN,CONBUS,CONEDUC,CONFED,CONLABOR,CONPRESS,CONMEDIC,CONJUDGE,CONLEGIS,COURTS,GRASS,RANK,SATFIN,FINALTER,GRANBORN,HOMPOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62477,1,59,1,3,2,30,1,1,3,1,25,160000,23,120000,19,,12,12,4,,1,1,1,,40,,2,2,2,2,3,6,3,3,6,3,3,1,1,,,,,1,2,1,1,1,1,2,0,1,0,3,2,1,1,1,2,,1,1,,,,,,,,,,,,,,2,,3,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62478,2,34,3,4,3,20,1,1,2,2,13,21250,12,18750,14,,,14,1,,,2,2,,20,,2,,2,2,3,1,1,1,4,2,,1,,3,2,3,1,,0,0,0,0,0,0,0,0,0,3,2,2,,4,2,,,,1,1,4,2,2,2,2,2,3,3,2,2,2,2,8,5,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62479,2,61,1,3,2,20,0,1,2,2,14,23750,,,13,,,12,1,,1,1,5,,,,2,2,1,1,8,1,1,1,4,2,,1,1,,,,,1,2,1,1,2,8,1,2,8,8,,,,,4,3,,4,2,,,,,,,,,,,,,,2,,10,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62480,1,44,2,1,2,34,1,2,2,,23,120000,22,100000,16,14,16,12,3,2,3,0,1,7,40,,2,1,2,2,,0,1,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,2,2,,1,1,1,1,2,4,1,1,3,2,2,3,3,2,1,2,2,2,1,7,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62481,2,41,2,5,2,19,1,1,1,2,2,2000,,,12,,15,16,1,,1,3,7,,,,2,2,2,2,8,4,2,,2,1,1,1,,1,1,1,3,,2,1,1,8,8,1,0,1,0,,,3,,5,2,,,,2,4,4,2,2,2,1,2,2,2,2,3,2,2,1,5,3,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62482,2,75,1,2,4,20,2,1,3,1,20,67500,9,11250,12,,12,12,1,,1,1,2,,19,,2,1,2,2,5,3,2,,5,3,3,2,1,,,,,2,2,1,8,2,8,1,0,8,0,4,1,2,1,1,2,,2,3,,,,,,,,,,,,,,,,5,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62483,2,55,1,1,0,,2,1,2,1,22,100000,20,67500,16,14,14,13,3,1,2,1,4,1,,45,2,2,2,2,3,2,2,,2,1,1,2,,1,2,2,2,,0,0,0,0,0,0,0,0,0,,,4,,1,3,2,,,1,4,4,,3,3,2,3,2,2,2,2,3,1,1,5,3,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62484,2,30,1,1,2,26,1,2,3,1,,,,,16,16,16,16,3,3,3,3,7,1,,60,,2,,,1,3,2,,6,3,3,2,1,,,,,1,2,1,1,1,1,2,1,2,2,,,2,,5,1,1,1,2,,,,,,,,,,,,,,,,5,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62485,2,40,1,3,2,32,1,1,3,,21,82500,20,67500,20,,15,19,4,,1,4,1,,40,,2,1,2,1,,1,1,1,2,1,1,1,1,2,2,3,2,2,0,0,0,0,0,0,0,0,0,,,2,1,,2,,1,2,1,1,4,2,3,3,1,3,2,2,2,2,2,2,2,7,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62486,1,30,1,5,0,,3,2,3,1,,,,,18,,16,16,4,,3,3,1,,40,,2,2,2,2,0,4,2,,4,2,,1,,3,2,2,2,,0,0,0,0,0,0,0,0,0,3,3,3,,3,3,,,,2,4,1,2,1,3,2,2,2,2,1,2,2,2,1,,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62487,2,34,1,1,1,31,2,2,3,1,23,120000,17,37500,15,12,,17,1,1,,4,1,1,42,50,2,,2,1,1,5,3,3,6,3,3,2,1,,,,,1,2,2,1,1,8,2,1,1,1,4,2,1,1,4,1,2,1,1,,,,,,,,,,,,,,,,5,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62488,2,29,3,5,0,,4,1,2,,,,,,14,,12,12,2,,1,1,6,,,,,2,2,,,5,3,3,6,3,3,,1,2,2,3,2,1,0,0,0,0,0,0,0,0,0,,,,,,2,,2,2,2,4,1,2,2,2,2,,,2,2,2,2,2,8,,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62489,2,40,1,1,1,35,1,1,3,1,22,100000,22,100000,14,12,16,16,2,1,3,3,1,7,32,,1,2,2,2,5,2,2,,4,2,,1,,2,2,3,2,,2,1,1,1,1,2,0,1,8,4,2,1,,1,2,2,,,2,4,4,1,2,1,2,2,2,1,2,3,2,,1,5,3,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62490,1,37,1,5,0,,2,1,2,1,20,67500,18,45000,12,,18,18,1,,4,4,1,,50,,1,2,2,2,1,0,1,1,1,1,1,1,1,,,,,1,2,1,1,1,1,2,0,1,0,4,1,1,1,1,1,,1,1,,,,,,,,,,,,,,1,,5,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62491,2,56,1,1,3,27,2,1,3,1,21,82500,12,18750,16,16,16,16,3,3,3,3,2,1,15,60,2,1,2,2,2,5,3,3,6,3,3,2,2,,,,,1,2,1,1,1,1,2,2,2,2,3,2,1,1,4,1,1,2,2,,,,,,,,,,,,,,3,,5,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62492,1,82,1,2,2,31,0,2,3,,16,32500,,,8,,8,8,0,,0,0,5,,,,2,2,,2,,5,3,3,4,2,,1,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,,,,,,1,,1,1,2,4,3,3,1,1,1,1,1,2,1,1,2,3,1,5,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62493,2,68,1,3,3,22,1,1,2,1,17,37500,17,37500,12,,12,12,1,,1,1,1,,33,,2,2,2,2,2,1,1,1,4,2,,1,1,,,,,1,2,1,1,1,8,2,2,1,2,4,3,2,2,4,2,,2,2,,,,,,,,,,,,,,2,,7,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62494,2,42,2,5,5,15,0,1,3,,9,11250,,,9,,0,10,0,,0,1,7,,,,,2,2,,,1,1,1,4,2,,1,2,4,1,3,1,,0,0,0,0,0,0,0,0,0,,,1,,,3,,1,2,2,4,2,5,2,2,2,3,2,2,2,3,3,2,1,5,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62495,2,40,1,3,3,21,1,1,3,1,19,55000,,,12,,12,12,1,,1,1,7,,,,2,2,2,2,3,6,3,3,7,3,3,1,,1,3,1,1,,2,1,1,1,2,1,0,1,1,,,2,,1,3,,,,1,4,3,3,1,1,1,2,2,2,2,1,1,2,2,1,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62496,1,20,1,5,0,,4,1,3,,23,120000,10,13750,14,,16,17,1,,3,4,2,,40,,2,2,2,2,,4,2,,2,1,1,2,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,,1,1,2,4,2,1,1,1,2,1,1,1,1,1,1,2,8,2,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62497,2,74,1,1,2,25,0,1,2,1,,,,,12,12,,12,1,1,0,1,5,5,,,2,,2,2,5,4,2,,7,3,3,1,,7,5,5,4,,0,0,0,0,0,0,0,0,0,,,,,1,2,2,,,2,,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62498,1,89,1,1,7,25,0,1,3,,16,32500,,,8,12,19,12,0,1,4,1,5,5,,,2,2,,2,,6,3,3,4,2,,2,1,5,1,5,1,1,0,0,0,0,0,0,0,0,0,,,,,,3,1,3,2,2,4,3,2,1,2,1,2,1,1,1,2,3,2,2,5,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62499,2,60,1,1,2,28,1,1,3,1,,,,,16,16,12,12,3,3,1,1,7,2,,30,2,1,2,2,3,3,2,,4,2,,2,,6,3,3,3,,2,1,1,1,8,2,0,2,0,,,1,,1,2,1,,,1,4,4,2,2,1,2,3,3,2,1,1,3,2,1,5,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62500,2,56,1,3,0,,1,1,3,1,23,120000,23,120000,16,,,16,3,,,3,1,,46,,2,,2,2,3,1,1,1,1,1,1,2,2,,,,,2,2,1,1,1,1,2,1,1,1,4,1,4,1,3,2,,3,1,,,,,,,,,,,,,,1,,3,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62501,2,55,1,3,3,19,1,2,3,1,,,,,10,,9,8,0,,0,0,2,,16,,1,2,,,2,2,2,,6,3,3,,,1,5,5,1,,1,2,1,1,8,2,0,1,2,3,2,1,,5,1,,,,2,4,1,1,2,2,1,3,2,2,1,2,3,,2,5,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62502,1,65,1,1,5,26,2,1,2,,24,140000,22,100000,18,20,12,12,4,4,1,1,1,2,40,4,2,1,2,2,,6,3,3,7,3,3,1,2,7,5,5,5,2,0,0,0,0,0,0,0,0,0,,,1,,,1,1,1,1,1,2,3,3,1,1,2,2,3,3,1,2,3,3,2,4,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62503,2,71,1,2,1,20,1,1,3,1,22,100000,,,20,,14,12,4,,1,1,2,,20,,2,2,,2,2,0,1,1,4,2,,2,1,,,,,1,2,1,1,1,1,2,1,1,1,3,3,2,1,1,2,,3,1,,,,,,,,,,,,,,1,,4,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62504,1,34,1,5,0,,1,1,1,,18,45000,18,45000,20,,16,18,4,,3,4,1,,45,,2,2,2,1,,0,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,4,1,,3,,2,1,2,1,5,3,3,2,2,3,1,1,1,2,3,1,1,1,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62505,1,45,1,1,1,33,2,1,2,2,20,67500,18,45000,19,12,12,8,4,2,1,0,1,1,50,40,2,2,2,2,1,4,2,,5,3,3,2,,3,3,3,2,,2,1,8,1,1,1,0,1,0,3,3,2,,2,2,2,,,2,4,1,2,3,3,1,2,3,3,2,1,2,1,1,7,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62506,2,50,2,,,,1,,,,,,,,12,,,,1,,,,,,,,,,,,4,,,,4,2,,1,1,,,,,1,2,1,1,1,1,2,0,1,0,,,,,2,2,,2,,,,,,,,,,,,,,,1,,5,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62507,2,65,1,3,2,30,1,1,1,2,10,13750,10,13750,12,,12,12,1,,1,1,2,,30,,2,2,2,2,2,0,1,1,3,1,1,2,,3,3,3,3,,0,0,0,0,0,0,0,0,0,3,2,1,,3,2,,,,1,4,3,2,2,2,2,2,2,1,2,2,2,,1,5,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62508,1,52,1,5,0,,2,1,2,1,17,37500,17,37500,12,,,10,1,,,0,1,,40,,2,,,2,5,1,1,1,4,2,,1,1,,,,,1,2,2,8,2,8,1,8,1,8,4,1,2,2,1,2,,2,2,,,,,,,,,,,,,,3,,8,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62509,2,62,1,2,1,26,0,1,1,2,18,45000,,,12,,12,12,1,,1,1,5,,,,2,2,2,2,8,0,1,1,4,2,,1,,3,3,2,2,,0,0,0,0,0,0,0,0,0,,,,,5,1,,,,2,4,2,3,2,2,2,3,3,2,2,2,3,2,1,6,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62510,1,60,3,1,0,,2,2,3,,,,,,18,16,20,16,4,3,4,3,3,1,,1,2,2,1,2,,0,1,1,4,2,,2,1,2,3,3,3,2,0,0,0,0,0,0,0,0,0,,,,,,2,1,1,1,2,4,1,,1,1,2,3,2,1,1,1,2,,1,3,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62511,2,62,1,3,2,24,1,2,2,,21,82500,20,67500,16,,,8,3,,,0,7,,,,2,,2,2,,2,2,,2,1,1,2,1,5,3,3,3,1,0,0,0,0,0,0,0,0,0,,,1,,,2,,1,1,1,4,2,2,2,2,2,3,2,2,2,1,2,2,1,5,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62512,2,46,1,2,3,18,1,2,2,2,16,32500,16,32500,12,,11,6,1,,0,0,2,,25,,2,2,,2,5,1,1,1,5,3,3,2,,7,1,1,1,,0,0,0,0,0,0,0,0,0,3,3,2,,2,3,,,,1,4,1,1,3,2,2,2,3,3,3,2,3,2,8,6,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62513,1,40,1,1,2,32,2,1,3,1,23,120000,21,82500,18,18,16,16,4,4,3,3,2,1,20,40,1,1,1,2,2,1,1,1,3,1,1,2,,3,1,3,1,,2,1,1,1,1,2,0,1,0,4,2,2,,1,2,2,,,2,4,2,2,2,1,1,2,2,2,1,1,1,3,1,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62514,2,53,1,1,3,33,1,2,4,1,26,180000,,,18,17,,14,4,3,,2,7,1,,84,2,,2,2,3,1,1,1,3,1,1,1,,2,2,2,1,,0,0,0,0,0,0,0,0,0,,,3,,1,2,2,,,2,4,1,3,2,2,2,3,2,1,2,1,2,3,1,3,1,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62515,1,75,1,3,1,39,0,1,3,1,23,120000,,,17,,19,15,3,,4,3,5,,,,2,2,,2,0,5,3,3,6,3,3,1,,7,4,4,3,,2,1,1,1,2,2,0,1,1,,,,,4,2,,,,2,4,2,2,1,1,1,2,3,3,2,2,3,2,2,3,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62516,2,67,1,3,2,40,2,1,3,1,22,100000,,,16,,,18,3,,,4,5,,,,2,,2,2,2,2,2,,4,2,,2,1,,,,,1,1,2,1,1,1,2,0,1,0,,,,,2,2,,2,2,,,,,,,,,,,,,,2,,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62517,1,22,1,5,0,,4,1,2,,,,,,14,,16,12,1,,3,1,1,,30,,1,1,2,2,,3,2,,,,,2,1,4,3,1,1,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,,1,1,2,4,3,3,3,2,2,2,3,3,2,3,2,1,1,7,2,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62518,2,42,1,4,3,18,1,2,2,1,15,27500,15,27500,12,,3,6,1,,0,0,1,,40,,2,2,2,2,2,1,1,1,4,2,,,1,,,,,1,2,1,1,1,8,2,8,1,2,3,3,2,1,5,3,,2,2,,,,,,,,,,,,,,3,,6,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62519,2,59,1,3,2,25,2,2,3,2,21,82500,21,82500,18,,18,17,4,,4,4,1,,55,,2,2,2,2,20,3,2,,4,2,,1,,5,3,2,3,,2,1,8,8,8,2,0,1,0,4,2,2,,1,2,,,,2,4,1,5,2,2,3,2,2,3,2,1,2,2,8,5,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62520,2,33,3,1,1,28,2,2,2,,19,55000,19,55000,18,18,16,16,4,4,4,4,6,1,,60,2,2,2,2,,3,2,,4,2,,,1,1,3,3,2,1,0,0,0,0,0,0,0,0,0,,,,,,1,1,2,2,1,4,3,2,2,2,1,1,1,2,2,,,,2,5,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62521,1,46,1,1,2,28,2,2,3,1,26,180000,26,180000,16,16,17,17,3,3,4,3,1,2,40,30,2,2,2,2,1,3,2,,3,1,1,2,,3,2,3,2,,0,0,0,0,0,0,0,0,0,4,3,1,,1,2,1,,,2,4,1,1,2,2,2,2,2,2,2,2,2,,1,4,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62522,1,55,1,3,1,43,1,1,3,,24,140000,24,140000,14,,7,7,3,,0,0,1,,40,,2,1,2,1,,5,3,3,4,2,,1,1,6,3,3,2,2,0,0,0,0,0,0,0,0,0,,,2,1,,2,,3,2,2,4,1,1,2,2,2,2,2,3,2,2,2,2,1,4,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62523,2,43,1,1,2,33,1,1,3,2,23,120000,,,16,16,8,8,3,3,0,0,7,1,,60,2,2,,2,1,3,2,,4,2,,2,,2,4,3,2,,2,1,1,1,2,1,0,1,1,,,1,,2,2,2,,,2,4,2,3,3,2,2,3,2,2,2,2,3,,1,1,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62524,2,45,2,5,2,19,2,1,2,2,8,9000,8,9000,14,,12,12,1,,1,1,4,,,,2,2,,2,0,2,2,,,,,1,1,,,,,,8,1,1,2,1,1,8,1,1,,,3,1,4,3,,2,2,,,,,,,,,,,,,,,,6,3,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62525,1,23,1,5,0,,1,1,3,,20,67500,20,67500,11,,,,0,,1,,1,,35,,2,2,2,2,,1,1,1,6,3,3,2,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,,,3,1,,2,,3,1,1,4,2,,2,1,1,1,3,1,1,1,1,1,1,4,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62526,2,28,2,4,2,21,1,1,1,2,7,7500,6,6500,9,,,12,1,,,1,2,,29,,2,,2,2,12,1,1,1,4,2,,2,,2,1,1,1,,0,0,0,0,0,0,0,0,0,4,1,2,,1,3,,,,1,4,2,1,3,2,3,2,2,2,3,3,3,1,1,9,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62527,2,27,2,1,1,21,2,1,3,2,5,5500,3,3500,13,14,12,12,1,1,1,1,7,2,,28,1,,1,2,17,0,1,1,2,1,1,2,1,,,,,3,2,1,1,1,1,1,2,1,1,,,1,,2,2,2,3,1,,,,,,,,,,,,,,1,,6,3,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62528,2,42,2,1,3,14,2,1,1,3,17,37500,13,21250,10,12,,11,0,1,,0,2,2,25,19,2,2,,2,10,0,1,1,1,1,1,2,,1,1,1,1,,2,2,2,8,8,1,0,8,2,3,3,3,,5,3,3,,,1,4,3,1,3,3,3,3,3,3,3,3,3,2,1,8,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62529,2,41,2,5,0,,1,1,3,2,19,55000,19,55000,16,,12,12,3,,1,1,1,,35,,2,2,,2,4,0,1,1,4,2,,2,1,,,,,,2,1,1,1,1,1,2,1,2,4,3,2,2,4,2,,2,2,,,,,,,,,,,,,,3,,4,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62530,2,64,2,2,1,25,0,2,3,2,17,37500,,,13,,8,8,1,,0,0,5,,,,2,1,,2,5,0,1,1,4,2,,1,1,,,,,1,1,1,1,1,1,1,0,2,0,,,,,3,2,,1,1,,,,,,,,,,,,,,3,,5,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62531,1,53,2,5,4,,0,1,2,2,,,,,12,,12,12,0,,1,1,5,,,,2,2,,,3,4,2,,4,2,,2,,1,5,3,4,,0,0,0,0,0,0,0,0,0,,,,,2,2,,,,2,4,4,1,3,3,3,2,2,3,2,2,2,3,2,5,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
